Raumeinheit;Ökologie-Score;Ökonomie-Score;Soziales-Score
Kiel, Landeshauptstadt;56.98;23.95;42.44
Lübeck, Hansestadt;55.12;25.04;28.86
Hamburg, Freie und Hansestadt;41.05;44.96;40.19
Braunschweig, Stadt;62.13;65.49;49.4
Köln, Stadt;43.61;30.88;42.69
Frankfurt am Main, Stadt;34.38;68.54;30.99
Stuttgart, Stadtkreis;56.47;83.65;49.18
Karlsruhe, Stadtkreis;46.83;55.27;56.54
Heidelberg, Stadtkreis;71.43;49.93;100.0
München, Landeshauptstadt;47.73;76.47;72.77
Nürnberg;35.76;54.03;41.6
Berlin, Stadt;46.82;12.31;25.68
Halle (Saale), Stadt;69.11;3.56;21.65
